id,Text,Subjectivity,Polarity,Target
253,UPDATE: The  issued a temporary authorization for emergency use of our COVID19 vaccine with… ,0,0,Neutral
254,"Jacklyn, who is living with UlcerativeColitis, learned to advocate for herself with support from her family and he… ",0,0,Neutral
255,What are the best ways to manage the combination of eczema and stress? Read tips from Pfizer’s Dr. Mark Levenberg.,0.3,1,Positive
256,What are the differences between the symptoms for COVID19 and other common respiratory viruses? Read:… ,0.4375,-0.2125,Negative
257,Learn how Type2Diabetes may affect the ❤. DiabetesAwarenessMonth NDAM,0,0,Neutral
258,"Lung cancer is the world’s leading cause of cancer-related death. However, our goal is to provide hope as we contin… ",0,0,Neutral
259,"Join Pfizer for a virtual HealthcarePartneringWeek from January 11-15, 2021 where we will discuss partnership and… ",0,0,Neutral
260,"You’ve got questions, we’ve got answers. Angela Hwang, our Group President, Biopharmaceuticals, answers questions o… ",0,0,Neutral
261,"Our Global President of Vaccines, Nanette Cocero, joined ’s annual Health Summit to talk about removing barrie… ",0,0,Neutral
262,You inherit more than looks from relatives. Why is it important to know your family health history?… ,0.75,0.45,Positive
263,"As part of our commitment to supporting the raredisease community for over 30 years, learn how we maintain rigorou… ",0.25,0.25,Positive
264,"Although WAAW2020 might be over, the threat of antimicrobial resistance is not. But by taking individual steps tod… ",0.4,0,Neutral
265,To all the participants in our COVID-19 vaccine trial around the world 🌏 . . . Thank You. ,0,0,Neutral
266,"You might be aware of the term “antimicrobial resistance” and, possibly the steps you can take to help reduce its s… ",0.625,0.125,Positive
267,"2020 has been a difficult year for many, but if you can’t shake the negative feelings, it may be a sign of… ",0.633333333,-0.1,Negative
268,"How clean are your hands? We all know handwashing can help stop a virus in its tracks, but did you know it can… ",0.7,0.366666667,Positive
269,UPDATE: Pfizer and  have submitted an EUA request to the  for our COVID19 vaccine candidate… ,0,0,Neutral
270,"Innovative technologies like mRNA vaccines, currently being investigated, may be critical in the fight against… ",0.733333333,0.166666667,Positive
271,"Vaccines are a key tool in the fight against AMR. By helping to prevent certain infectious diseases, they can help… ",0.785714286,0.107142857,Positive
272,Say Their Name. This year is the highest on record of lives lost in the U.S. to anti-transgender violence. That is… ,0,0,Neutral
273,COVID19 UPDATE: We will submit a request today to the  for Emergency Use Authorization (EUA) of our mRNA va… ,0,0,Neutral
274,"Wear a mask, save lives. ScienceWillWin ",0,0,Neutral
275,Our Multicultural Center of Excellence is proud to partner with the National Congress of American Indians to discus… ,0.366666667,0.233333333,Positive
276,"COVID19 is speeding our march towards an AntibioticResistance catastrophe, write  Dame Sally Davies and …",0,0,Neutral
277,"Tune in to  Total Health tmrw at 10:30am ET, to hear Angela Hwang share how Pfizer became an early m… ",0.525,0.05,Positive
278,"Think you know how to take antibiotics responsibly? To help StopSuperbugs, which of the following statements is true about antibiotics:",0.433333333,0.183333333,Positive
279,"Antimicrobial medicines, especially antibiotics, are one of the most important discoveries in medical history  but… ",0.625,0.225,Positive
280,We are proud to support the LGBTQ community both within our Pfizer community and beyond. Being an ally is an ongoin… ,1,0.8,Positive
281,"Cancer screenings have decreased due to COVID19, but cancer doesn’t wait. Doctors' offices are likely taking step… ",0.691666667,-0.175,Negative
282,Ongoing coordination is critical to help ensure efficient vaccine distribution as soon as possible if our vaccine candida…,0.9,0,Neutral
283,We are thrilled to be working with  on our COVID19 Immunization Pilot Program. To build on our coordination…,0.7,0.6,Positive
284,"We are very pleased to be working alongside  in paving the way for distribution of our potential vaccine, if a…",1,0.325,Positive
285,Many antibiotics are becoming ineffective as bacteria continue to evolve. Learn about our data-driven partnerships… ,0.675,0.475,Positive
286,KnowTheFacts: Answers to your biggest questions about the progress of our COVID19 vaccine candidate &amp; more information on next steps.,0.25,0.25,Positive
287,"Antimicrobial resistance, or AMR, is a growing public health issue.1 But each of us can take small steps today to… ",0.233333333,-0.125,Negative
288,Are your winter blues more than a normal response to the dark days of winter? Get the facts about SAD:,0.6375,0,Neutral
289,"BREAKING: We are proud to announce, along with , that the Phase 3 study of our COVID19 vaccine cand… ",1,0.8,Positive
290,"At Pfizer, we are working to “Undo Underrepresented” in clinical trials and improve awareness and access for all pa… ",0,0,Neutral
291,"As a  member, Pfizer is committed to working with biopharma peers to help address health inequities and build… ",0,0,Neutral
292,AFib is the most common type of irregular heartbeat and is a significant risk factor for stroke. Check out… ,0.625,0.191666667,Positive
293,"According to , Cdiff infection is an urgent public health threat. To help raise awareness, in partnership w… ",0.066666667,0,Neutral
294,Type2Diabetes is a chronic disease that occurs when the body does not make or use insulin properly. Symptoms like… ,0.1,0,Neutral
295,At 2:05 PM ET  will join  at the STATSummit for a live discussion about Pfizer's… ,0.5,0.136363636,Positive
296,Tune in to 's  Online Summit at 1 PM ET to hear from  as he takes the virtual stage w… ,0,0,Neutral
297,"Biomarkers have revolutionized lungcancer treatment, especially those with NSCLC. But what exactly are… ",0.625,0.125,Positive
298,"Our CEO  discusses the staggering economic, health, and equity effects of the pandemic. Read more on t… ",0.35,0.35,Positive
299,"DYK your ABCs? It’s important for people with type 2 diabetes to keep their ABCs (A1C, blood pressure &amp; cholestero… ",1,0.4,Positive
300,Race &amp; age can play a factor in both cancer diagnosis &amp; treatment. Learn how we’re helping address these dispariti… ,0,0,Neutral
301,I am thrilled to hear the good news coming out of ’s COVID19 vaccine development program. Our companies share…,0.65,0.65,Positive
302,Your risk of becoming seriously ill from COVID19 is likely to be lower if your type 2 diabetes is well managed. A… ,0.95,-0.016666667,Negative
303,DYK over half of people with diabetes worldwide are undiagnosed. It’s important to stay informed about… ,0.583333333,0.116666667,Positive
304,"Having type2diabetes can feel overwhelming, but collaborating with a health care team can help patients with their… ",1,0.5,Positive
305,Thank you to the millions of nurses worldwide for making the difference by supporting people with type2diabetes.… ,0.25,0.25,Positive
306,We are proud to support partners like  in combatting the effects of COVID19. Learn more:… ,1,0.8,Positive
307,"Antimicrobials, especially antibiotics, are becoming less effective as bacteria develop resistance to them.  But su… ",0.679166667,0.220833333,Positive
308,Our Oncology Global President &amp; General Manager  spoke w/  about how we can modernize our… ,0.25,0.025,Positive
309,"WorldPneumoniaDay, annually observed on Nov 12, is dedicated to spotlighting pneumonia and the dangers it present… ",0,0,Neutral
310,Cancer doesn’t discriminate &amp; neither should cancercare. Learn how we’re partnering w/ the cancer community to he… ,0,0,Neutral
311,"To our veterans in Pfizer, to all those who have served, and those who continue to serve: Happy VeteransDay 🇺🇸",1,0.8,Positive
312,"As COVID19 continues to impact communities in the US and around the world, The Pfizer Foundation is providing supp… ",0,0,Neutral
313,"Our CEO  spoke with  of  about our COVID19 vaccine efficacy results this week,… ",0,0,Neutral
314,"Just as important as developing a safe, effective COVID19 vaccine is getting it in the hands of people around the world.…",0.766666667,0.5,Positive
315,"Yesterday, our Masum Hossain spoke during  WorldCancerSeriesEurope, about the challenges COVID19 has… ",0,0,Neutral
316,Yesterday’s news was a first but critical step as we continue our work to try to deliver a safe and effective vacci… ,0.608333333,0.3375,Positive
317,Be resilient. Be persistent. Be patient. See what advice our scientists 👩🏻‍🔬👨🏾‍🔬 would give to the next generation… ,0,0,Neutral
318,"People with Type2Diabetes are at greater risk of developing high blood pressure, which may lead to serious complic… ",0.568888889,0.108888889,Positive
319,A scientist 👩🏽‍🔬 can spend months working on a new experiment to find out that it doesn’t work. See how our colleag… ,0.454545455,0.136363636,Positive
320,"Leading up to WorldScienceDay, see what motivates our colleagues to discover new medicines. 🧪… ",0.454545455,0.136363636,Positive
321,"There are 3 critical areas where we must demonstrate success before filing for EUA of our COVID19 vaccine

▶️ Evid… ",0.4,0.15,Positive
322,We welcome the encouraging vaccine news from  &amp;  &amp; salute all scientists &amp; partners around the 🌍 who ar…,0.9,0.8,Positive
323,An update from  on our investigational COVID19 vaccine program with .,0,0,Neutral
324,"UPDATE: We are proud to announce, along with , that our mRNA-based vaccine candidate has, at an int… ",1,0.8,Positive
325,"Want to know what life is like for one of our scientists? Follow along to learn more about Kristin Tompkins, a sen… ",0.5,0.5,Positive
326,Obesity is a serious disease characterized by excessive weight or body fat that may affect an individual’s health.… ,0.688888889,-0.194444444,Negative
327,"The right to vote is one of the bedrocks of our democracy, granting us the priceless opportunity to make our voice… ",0.767857143,0.642857143,Positive
328,Wishing you all a happy (and especially safe) Halloween! Drop a 🎃 below if you’ve already carved your Jack (or Jil… ,1,0.9,Positive
329,"Though COVID19 may present challenges, it’s important for people living with chronic pain due to osteoarthritis t… ",0.458333333,0.091666667,Positive
330,Interested in our latest understanding of the role of the JAK pathway in AtopicDermatitis? Join us at our symposia… ,0.7,0.375,Positive
331,"During PBW20, we recognize 60+ PfizerColleagues and 10+ partner organizations finding new ways to make an impact… ",0.454545455,0.136363636,Positive
332,We are honored to have our medicine for the treatment of people living with ATTR-CM named the Best Biotechnology Pr… ,0.3,1,Positive
333,RT IWearBecauseICare to tell us how you're doing your part to curb the spread of COVID19 by practicing social dis… ,0.066666667,0.033333333,Positive
334,Learn about a new steroid-free treatment option for mild to moderate AtopicDermatitis at our symposia session toni… ,0.551515152,0.156565657,Positive
335,"While stroke rates are declining in Europe, stroke risk could potentially be reduced by raising awareness of risk… ",1,0,Neutral
336,"Attending EADVVirtual? For the first time at EADV, we’re excited to bring you four virtual booths that share the… ",0.541666667,0.3125,Positive
337,Antimicrobial surveillance &amp; tracking help reduce the spread of infection. We are now proud to offer our industry-r… ,1,0.8,Positive
338,"The liver is a football-sized organ that performs hundreds of critical functions. NASH, a disease which impacts li… ",0.8,0,Neutral
339,A Stroke is a form of disability that many people experience in the United States. For WorldStrokeDay take steps… ,0.5,0.5,Positive
340,DYK that health literacy is how a patient can understand and act on health information. Join us in raising awarene… ,0,0,Neutral
341,"DYK low health literacy makes it hard to discuss, evaluate and act on health information? Join us in raising aware… ",0.420833333,-0.145833333,Negative
342,"Today we launched the NoTimetoWait campaign to raise awareness about the symptoms of AFib, a type of irregular he… ",0,0,Neutral
343,"Pfizer’s Multicultural Center of Excellence partnered w Dr Alejandro Cané, Head of Vaccines Medical &amp; Scientific Af… ",0.05,-0.05,Negative
344,"We must help protect the most vulnerable among us. 💙

At the , Nanette Cocero laid out the framework… ",0.5,0,Neutral
345,Consider yourself a science enthusiast? Drop a 🙋🏻‍♂️🙋🏾‍♀️🙋🏽🙋🏼‍♀️🙋🏿‍♂️ in the comments if you know what Avogadro’s n… ,0,0,Neutral
346,October is HealthLiteracyMonth and we’re highlighting how Healthcare Providers (HCPs) have a responsibility to com… ,0,0,Neutral
347,"In a recent article for BiopharmaCareers, Nanette Cocero shares the importance of signing TheHispanicPromise and… ",0.25,0,Neutral
348,“Ensuring over a billion people globally have access to our potential vaccine is as critical as developing the vacc… ,0.6,0,Neutral
349,We are PfizerProud to partner with Algeria’s Ministry of Higher Education to support and promote training and rese… ,0.5,0.25,Positive
350,LIVE NOW at : Angela Hwang discusses Pfizer’s patient focus:  MIGlobal… ,0.5,0.136363636,Positive
351,Caregivers and family members can play an important role in supporting loved ones. Hear from Ann and her daughter L… ,0.683333333,0.45,Positive
352,Our Angela Hwang is going live soon at 2:45 PM ET to talk about innovations in access and patient care that are mov… ,0.5,0.136363636,Positive
353,How comfortable are you being completely open with your doctor about your RA symptoms?,0.65,0.2,Positive
354,"Today, we announced the start of a Phase 1/2 study in Japan for our COVID19 vaccine candidate.  The investigationa… ",0,0,Neutral
355,"In celebration of National Pharmacy Week 2020, the Pfizer Hospital Business Unit would like to express our sinceres… ",0,0,Neutral
356,Tune in to the  Global Conference tomorrow to hear Angela Hwang speak live about why we need breakt… ,0.25,0.068181818,Positive
357,"After Roger was diagnosed with NASH, he knew he needed to adopt a heathier lifestyle to help manage this serious,… ",0,0,Neutral
358,"Over the next two weeks, we’re bringing together patient advocates from around the🌍to brainstorm solutions for the… ",0,0,Neutral
359,"Our Chief Patient Officer, Dr. Dara Richardson-Heron, is joined by Dr. Gary Puckrein, President &amp; CEO of , to… ",0,0,Neutral
360,"To really move the needle for patients, health innovation has to go beyond the lab to impact patient access and ong… ",0.2,0.2,Positive
361,"This WorldMenopauseDay, share this six-episode podcast series with a woman (or man) in your life to help them… ",0,0,Neutral
362,Is your RA disease management plan meeting your treatment goals? Speaking frankly with a doctor can help. Register… ,0,0,Neutral
363,"Congratulations! 👏 Angela Hwang, Group President of Pfizer Biopharmaceuticals, is 16 on ’s Most Po… ",0.5,0.5,Positive
364,"Hear Richard Blackburn, Global President, Inflammation &amp; Immunology, speak at the  Innovation Festival… ",0,0,Neutral
365,"Our partnership with  began in 1998 and, now, we’re excited to expand that partnership over the next severa… ",0.375,0.1875,Positive
366,"Learn how The Pfizer Foundation is supporting partners like , ,  and others… ",0.25,0.25,Positive
367,"PfizerProud to be in good company with , ,  &amp;  and partner with Ta… ",0.6,0.7,Positive
368,The world is waiting for a safe and effective COVID19 vaccine. Today our Chairman &amp; CEO penned an open letter to h… ,0.6,0.366666667,Positive
369,"Want to learn how vaccines💉generate immunity against viruses 🦠? Our scientist 👨🏿‍🔬, Anubhav, teaches us about the i… ",0,0,Neutral
370,"Meet Krys Molina, a young Latina who works as a Data Science Associate at Pfizer. Watch this video and learn more a… ",0.45,0.3,Positive
371,Partnership is key to address globalhealth challenges.  shares learnings from our longstanding collaboration… ,1,0,Neutral
372,"Cardiovascular disease (CVD) is the leading cause of death globally. Upjohn, a division of Pfizer, is supporting… ",0,0,Neutral
373,What’s the latest when it comes to protecting yourself and your family from getting COVID19? Here are some smart s… ,0.771428571,0.357142857,Positive
374,"In recognition of HispanicHeritageMonth, learn more about the Pfizer Latino colleagues who are making a difference… ",0.5,0.5,Positive
375,"As the threat of InfectiousDiseases grows, The Pfizer Foundation Global Health Innovation Grants support community… ",0,0,Neutral
376,"In a recent interview with BioCentury (), Pfizer’s Rod MacKenzie () shared the impact of t… ",0.25,0,Neutral
377,"In a Q&amp;A with ,  asked Nanette Cocero, our Global President of Vaccines, where we are in the… ",0,0,Neutral
378,"About 17 million people in the U.S. are affected by a serious liver disease called NASH, but many experience few o… ",0.422222222,-0.011111111,Negative
379,Our RA conversation guide can help preparation for future doctor appointments. Register to receive the guide.… ,0.125,0,Neutral
380,"Mark your calendars for October 13, 8 pm ET for the LightUpMBC live stream event on  Facebook! Share with us Who…",0.5,0.170454545,Positive
381,"Read about the work to evolve Pfizer's R&amp;D engine into a more focused, productive, and faster organization in this… ",0.5,0.5,Positive
382,Enrollment has started in South Africa for the Phase 2/3 COVID19 vaccine trial. The study will include up to 800 S… ,0,0,Neutral
383,The earlier we can understand the safety and immunogenicity profile of our vaccine candidate in members of this pop… ,0.5,0,Neutral
384,"With more than 350 million people impacted by arthritis, we are joining the conversation during WorldArthritisDay… ",0.5,0.5,Positive
385,"Need information on your Pfizer medications? Visit our website, select “I am a U.S. Patient/Caregiver”, and search… ",0,0,Neutral
386,Test your knowledge for  – What are some risk factors for developing a potentially deadly venous thro… ,0.4,-0.2,Negative
387,"Less than 30% of the world’s scientific researchers are women. Kathrin Jansen, Pfizer’s Head of Vaccine R&amp;D, has ov… ",0.066666667,-0.166666667,Negative
388,"In honor of WorldArthritisDay, hear how people living with rheumatic conditions are working together with their d… ",0,0,Neutral
389,"This WorldArthritisDay, we’re encouraging people with RA to have open and honest conversations with their doctor.… ",0.7,0.3,Positive
390,Rheumatic conditions can cause people to limit doing the things they love. Speak openly with your doctor about you… ,0.55,0.25,Positive
391,"In support of WorldArthritisDay, we’re shedding light on the impact of the most common form of arthritis –… ",0.566666667,0.2,Positive
392,"""Love is too beautiful to be hidden in the closet, right?” Hear from our colleagues across the globe 🌏 this… ",0.617261905,0.367261905,Positive
393,"Equity is one of our core values, and we support DayofTheGirl - the annual  campaign to amplify girls’ voic… ",0,0,Neutral
394,Tomorrow is WorldArthritisDay! Our tips for people living with rheumatic conditions - don’t settle when it comes… ,0,0,Neutral
395,"Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month. 

L… ",0.75,0.375,Positive
396,Ann shares her perspective with  of  on how chronic pain due to osteoarthritis can impos… ,0.375,-0.125,Negative
397,"We are excited to announce that our Head of Vaccine Research &amp; Development, Kathrin Jansen, has been selected as on… ",0.75,0.375,Positive
398,"There’s too much at stake to take shortcuts. Here at Pfizer, safety and science are our top priorities. Following r… ",0.266666667,0.233333333,Positive
399,"Congrats to Lidia Fonseca, Chief Digital &amp; Technology Officer, and Nanette Cocero, Global President, Vaccines, for… ",0,0,Neutral
400,"If you’ve been exposed to SARS-CoV-2, does that mean you have immunity against reinfection? Researchers are racing… ",0.6875,-0.3125,Negative
401,Chronicpain and decreased function may be just the tip of the iceberg for people with osteoarthritis. Many people… ,0.6,0.05,Positive
402,"Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month. 

L… ",0.75,0.375,Positive
403,"NASH is a progressive LiverDisease caused by a buildup of fat in the liver, inflammation and cell damage. In some… ",0,0,Neutral
404,RA symptoms may impact emotional well-being. Talking to a doctor could help. Register to receive a guide. ArthritisRevealed RealTalkRheum,0.65,0,Neutral
405,Do some people have genetic variations that make them more resilient to diseases like cancer? Learn how a novel cli… ,0.5,0.5,Positive
406,Get info on-the-go! Pfizer Medical Information can be accessed on your mobile device or computer. Visit our site to… ,0,0,Neutral
407,Pfizer has never discussed ’s COVID19 vaccine guidelines with the White House and will never do so as it could un…,0,0,Neutral
408,Have you heard of financial toxicity? Financial toxicity refers to the financial burden people may face after a… ,0,0,Neutral
409,"Join Richard Blackburn, Global President, Inflammation &amp; Immunology  Innovation Festival for his discus… ",0,0,Neutral
410,"Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month. 

L… ",0.75,0.375,Positive
411,"What should students consider studying 📚 if they want to pursue a career 💼 in pharmaceutical manufacturing? 

Lynn… ",0,0,Neutral
412,Our colleagues are partnering with communities around the 🌍 to help create a future without breastcancer. We’ll be… ,0.125,0,Neutral
413,"The impact of AlopeciaAreata, a chronic autoimmune condition affecting millions of people worldwide, goes beyond h… ",0,0,Neutral
414,We know RA can be more than joint pain. Talking to a doctor about all symptoms can help. Register to learn how.… ,0.5,0.5,Positive
415,"Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month.

Le… ",0.75,0.375,Positive
416,Meet our manufacturers inspiring future creators. 💡 ⚙️ 📦 MFGDay20  CreatorsWanted PfizerProud,0.5625,0.25,Positive
417,"On Tuesday night, our Chairman and CEO , like millions of Americans, tuned into the… ",0,0,Neutral
418,Woman-Made 🏭👩🏾‍🔬👩🏼‍💻👩🏻‍💼🎛 Get to know three women who help make Pfizer’s medicines. MFGDay20,0,0,Neutral
419,"During BreastCancerAwarenessMonth, we recognize the courageous women &amp; men living w/ breastcancer around the 🌍. N… ",0,0,Neutral
420,"In honor of WorldArthritisDay this month, we’re launching the ArthritisRevealed campaign to encourage people livi… ",0,0,Neutral
421,Globally 4 out of 5 osteoarthritis patients report difficulty with activities of daily living. Ann sat down with… ,0.096296296,-0.051851852,Negative
422,Myth or fact: Getting the fluvaccine can give me the flu. Learn the truth.,0,0,Neutral
423,"Listen 🎧 to the full COVID19 mini-series of TheANTIGEN podcast.

We look back at past global health emergencies 🏥… ",0.2,0.025,Positive
424,"📢 CreatorsWanted: A Program for America’s Students

🗓️ Tune in on Oct 2 at 12 pm ET

👥 Join , ,… ",0,0,Neutral
425,"Navigating your finances during a pandemic is hard, especially after a cancer diagnosis. Here are some easy tips… ",0.791666667,0.047222222,Positive
426,"Though COVID19 may present challenges, it’s important for people living with chronic pain due to osteoarthritis t… ",0.458333333,0.091666667,Positive
427,"In a post COVID19 world, we must harness this sense of collective urgency to find breakthrough solutions for… ",0,0,Neutral
428,We’re proud to partner with  on a Phase 2b clinical trial evaluating our investigational treatment i… ,1,0.8,Positive
429,"Pfizer is committed to ensuring expanded globalaccess to diagnostics, therapeutics, and vaccines that will help ac… ",0,0,Neutral
430,We’re proud to support  and its new program aimed at preventing thousands of premature breastcancer deaths ov… ,0.727272727,0.468181818,Positive
431,"Suneet Varma, our Global President of Rare Disease, will speak today at FTUSPharma on the future of rarediseases… ",0.341666667,0.1,Positive
432,"Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month. 

L… ",0.75,0.375,Positive
433,"For this year’s WorldHeartDay, we’re spotlighting Don Chaney, a former professional basketball player and coach li… ",0.05,0.05,Positive
434,"Patients like Walt inspire us to be Heart Heroes and continue generating awareness of ATTRCM, a rare and life-thre… ",0.9,0.3,Positive
435,We are following the UseHeart ❤️ conversation to raise awareness about the challenges associated with CVD. Join u… ,0.1,0,Neutral
436,"On WorldHeartDay and every day, we use ❤ to support the cardiac amyloidosis community around the world. We are co… ",0,-0.05,Negative
437,In the U.S. we UseHeart to support the cardiac amyloidosis community and recently launched an augmented reality a… ,0.125,-0.025,Negative
438,"This WorldHeartDay, and every day, we’re committed to using our scientific expertise to develop new approaches see… ",0.454545455,0.136363636,Positive
439,"Our 170-year-old manufacturing footprint in the U.S. includes:

✅ 12 facilities in 10 states
✅ 10.2K manufacturing… ",0,0,Neutral
440,"This WorldHeartDay learn more from the  about heart conditions such as AFib, a common type of irregular heartbeat.",0.5,0.066666667,Positive
441,"This week, leading up to MFGDay20 on October 2, we’ll be sharing more about the types of manufacturing careers av… ",0.5,0.5,Positive
442,"Learn how we’re using artificialintelligence to educate HCPs on the diagnosis of ATTRCM, a rare, underdiagnosed cause of heartfailure.",0.9,0.3,Positive
443,"“Although this is going very quickly, the processes we are using and the systems we are relying on are the same one… ",0.3875,0.216666667,Positive
444,Celebrating the rich diversity and culture of our Hispanic/Latino/Latinx colleagues and communities this month. Lea… ,0.75,0.375,Positive
445,We are partnering w/  to help reduce under-five mortality in Indonesia. Through a Pfizer Foundation… ,0,0,Neutral
446,"Earlier today, Mike McDermott, and other members of the  Task Force on Closing the Opportunity Gap, an… ",0.4375,-0.0625,Negative
447,What’s a protease inhibitor &amp; how could it possibly help in the fight against COVID19? Watch here. cc: ,1,0,Neutral
448,The A1C goal for many adults with T2D is less than 7%. Speak with your doctor to find out if a higher or lower go… ,0.355555556,0.194444444,Positive
449,"Pfizer’s current COVID19 vaccine trial, and many other clinical studies it sponsors, are now being conducted virtu… ",0.425,0.125,Positive
450,Antifungal resistance occurs when fungi no longer respond to the drugs designed to kill them and can severely limit… ,0,0,Neutral
451,Learn more about the importance of diversity in clinical trials with Pfizer’s  and NBNA’s Dr. Martha… ,0.5,0.5,Positive
452,"Pfizer’s Steven Terra, PharmD will join  for a webinar to discuss the burden of… ",0,0,Neutral
453,"Jackie discussed her symptoms with her doctor during a routine check-up, which eventually led to an AFib diagnosis… ",0,0,Neutral
454,"Prior to his AFib diagnosis, Frank wasn’t familiar with the condition. He was able to learn more by talking with h… ",0.40625,0.34375,Positive
455,"On World AtopicEczemaDay our Global President of Immunology &amp; Inflammation, Richard Blackburn, and … ",0,0,Neutral
456,"During UNGA this year, we are discussing the importance of providing effective care to ease the burden of NCDs in… ",0.8,0.6,Positive
457,Congrats to  on its recent announcement regarding its electrocardiogram (ECG) app to identify atrial fibrill… ,0.25,0,Neutral
458,"Osteoarthritis can place a significant burden on patients, as the pain can limit their ability to function, which… ",0.875,0.375,Positive
459,"Dr. Martha Dawson, President, National Black Nurses Association and Pfizer’s Dr. Rod MacKenzie ",0.433333333,-0.166666667,Negative
460,"ICYMI, a discussion led by  and sponsored by Pfizer and  sheds light on key areas for innovation ne… ",0.85,0.2,Positive
461,Face masks can help stop the spread of COVID19 but only if you wear them correctly.,1,0,Neutral
462,PfizerProud to be included (in good company) at the number one spot in the  Change the World list. You can… ,0.6,0.7,Positive
463,"According to , Black men are ~1.8 times more likely to be diagnosed with prostatecancer compared to… ",0.644444444,0.111111111,Positive
464,Join us on today for a conversation on clinicaltrial diversity and our COVID19 investigational vaccine led by… ,0,0,Neutral
465,"Developing multisectoral partnerships is critical to combatting the burden of NCDs. Upjohn, a division of Pfizer,… ",0.8,0,Neutral
466,"The number of adults living with diabetes worldwide has more than tripled over the past 20 years, and… ",0.375,0.125,Positive
467,"Irregular heartbeat is a possible symptom of AFib. For those over 65, talk to your doctor about other AFib symptom… ",0.6875,-0.0625,Negative
468,"At the start of ’s FungalWeek, remind yourself of the threat of invasive mould diseases like aspergillosis… ",0,0,Neutral
469,We’re tackling cancerresearch from all angles so that those with cancer can benefit from the latest advancements.… ,0.9,0.5,Positive
470,BRAF mutations are the most common mutations in metastatic melanoma. Watch this video to learn more about the role… ,0.5,0.233333333,Positive
471,"Often data that’s presented at medical meetings, like ESMO20, can be hard to comprehend if you’re not a scientist… ",0.270833333,-0.145833333,Negative
472,Thanks  for hosting an insightful discussion on how skin conditions can affect physical and mental hea… ,0.180952381,0.033333333,Positive
473,"During Pfizer’s Investor Day, Chief Development Officer Rod MacKenzie outlined five areas in which we are working t… ",0,0,Neutral
474,"We’re committed to breakthroughs that change patients’ lives, and believe that Science Will Win. Couldn’t tune in t… ",0.4,0.8,Positive
475,How many adults are estimated to be affected by HeartDisease (❤) in the United States? Vote below and share your a… ,0.5,0.5,Positive
476,"No matter where we are in the 🌍, and especially in these challenging times, we know we must all unite 🤝 to overcome… ",1,0.25,Positive
477,"Welcome to Twitter,  — follow along as they share emerging oncology scientific data with the medical… ",0.9,0.8,Positive
478,"Upjohn, a Pfizer division, recently launched MAPS, a framework to help contribute to the management of non-communic… ",0.25,0,Neutral
479,NCDs are best managed with early access to screening and treatment. Keys to managing risks within the Southeast As… ,0.3,0.55,Positive
480,"The fungi around us can cause many different illnesses, from mild skin infections to more serious, life-threatening… ",0.553333333,0.2,Positive
481,Join us in celebrating WorldPatientSafetyDay on September 17! This year’s theme: Health Worker Safety. Hear from o… ,0,0,Neutral
482,"We are proud to join  InclusionPledge, to focus on diversity, inclusion, and eliminating disparitie… ",1,0.8,Positive
483,"Older people with cancer face unique challenges, which may be exacerbated by racial, socioeconomic &amp; geographic ba… ",0.666666667,0.270833333,Positive
484,"Thank you to the 30,000 participants who have enrolled in our COVID-19 vaccine clinical trial. Your participation w… ",0,0,Neutral
485,Caregivers and family members can play an important role in supporting loved ones. Hear from Ann and her daughter L… ,0.683333333,0.45,Positive
486,"""We’re dedicated to developing breakthroughs to help the day-to-day suffering of people living w/ chronic skin dise… ",0,0,Neutral
487,"*New thread alert* We’ll be sharing the PFEInvestorDay key takeaways from Day Two, starting with INFLAMMATION &amp; IM… ",0.518181818,0.045454545,Positive
488,"While we may not have been able to gather physically for this year’s  Run/Walk events, our colleagues la… ",0.383928571,0.25,Positive
489,See what leaders from  have to say about AFib and the increased risk for stroke this AFibAwarenessMonth,0,0,Neutral
490,"It’s ChildGrowthAwareness Week. Join us in raising awareness of HealthMoreThanHeight to help the 1 in ~4,000 to 1… ",0,0,Neutral
491,"Atopicdermatitis (AD) is a disease known for causing itchy, red or discolored skin patches, but it can also have a… ",0,0,Neutral
492,Covid-19: Balancing the pressing need for information and rigorous review during a pandemic  via…,0,0,Neutral
493,"Follow along this thread for the key takeaways from Day One of PFEInvestorDay, kicking off with INTERNAL MEDICINE: ",0.5,0,Neutral
494,"Our two-day, all virtual Investor Day event kicks off today at 1p ET, and you can tune in! Join us and access the l… ",0,0,Neutral
495,Our Richard Blackburn discusses the impact of COVID19 on chronic autoimmune diseases in a HLTH blog post. Read hi… ,0,0,Neutral
496,"With pathogens becoming more and more resistant to antibiotics, AMR poses a serious threat to public health – and… ",0.516666667,0.223333333,Positive
497,"DYK up to 10% of adults &amp; 20% of children live with atopicdermatitis (AD) globally? This AtopicEczemaDay, we’re… ",0.25,0.068181818,Positive
498,Thank you  for the great COVID19 discussion on  this morning. Our decision to expand the Phase…,0.75,0.8,Positive
499,"Despite advances in modern medicine, sepsis still causes one in five deaths globally, affecting at least 11 million… ",0.233333333,-0.033333333,Negative
